wmpid,cand_name,full_name,cand_office_st,cand_party_affiliation,matches,bp_name_raw,bp_url,bp_name,bp_url_filename,_merge,hc_face_note,hc_face_url,hc_first_name,hc_last_name,hc_middle_name,hc_suffix,hc_affix,hc_name_other,hc_double_surname
WMPID4666,"GARNER, JAMES",James Garner,AR,WI,James Garner,"James Garner (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James-Garner.jpeg,James Garner,James-Garner.jpeg,both,,,,,,,,,
WMPID3625,"VICTOR, MARC J",Marc Victor,AZ,LIB,Marc Victor,"Marc Victor (L) (Unofficially withdrew) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MarcVictor.jpg,Marc Victor,MarcVictor.jpg,both,,,,,,,,,
WMPID3907,"MASTERS, BLAKE",Blake Masters,AZ,REP,Blake Masters,"Blake Masters (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/bmasters.jpg,Blake Masters,bmasters.jpg,both,,,,,,,,,
WMPID1456,"PADILLA, ALEX",Alex Padilla,CA,DEM,Alex Padilla,"Alex Padilla (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Alex-Padilla.jpg,Alex Padilla,Alex-Padilla.jpg,both,,,,,,,,,
WMPID3569,"MEUSER, MARK",Mark Meuser,CA,REP,Mark Meuser,"Mark Meuser (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Meuser.PNG,Mark Meuser,Mark-Meuser.PNG,both,,,,,,,,,
WMPID1859,"TREVI?O, AARON DAVID",Aaron David Trevi?O,CO,NPA,,,,,,left_only,,,,,,,,,
WMPID3196,"O'DEA, JOSEPH MATTHEW",Joseph Matthew O'Dea,CO,REP,,,,,,left_only,,,,,,,,,
WMPID1773,"ANDERSON, TEAL'C MR",Teal'C Anderson,CO,FRE,,,,,,left_only,,,,,,,,,
WMPID3422,"ATWOOD, FRANK FISHER",Frank Fisher Atwood,CO,OTH,,,,,,left_only,,,,,,,,,
WMPID4019,"LEVY, LEORA",Leora Levy,CT,REP,Leora Levy,"Leora Levy (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Leora-Levy.PNG,Leora Levy,Leora-Levy.PNG,both,,,,,,,,,
WMPID4773,"TALMADGE, KRISTI L",Kristi Talmadge,CT,UN,,,,,,left_only,,,,,,,,,
WMPID3659,"GRANT, STEVEN B",Steven Grant,FL,NPA,Steven B. Grant,"Steven B. Grant (No Party Affiliation) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steven_B_Grant.jpg,Steven B. Grant,Steven_B_Grant.jpg,both,,,,,,,,,
WMPID176,"MISIGOY, DENNIS",Dennis Misigoy,FL,LIB,Dennis Misigoy,"Dennis Misigoy (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dennis_Misigoy.jpg,Dennis Misigoy,Dennis_Misigoy.jpg,both,,,,,,,,,
WMPID787,"DEMINGS, VAL",Val Demings,FL,DEM,Val Demings,"Val Demings (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Val-Demings.PNG,Val Demings,Val-Demings.PNG,both,,,,,,,,,
WMPID2873,"NGUYEN, QUOC TUAN MR.",Quoc Tuan Nguyen,FL,NPA,Tuan Nguyen,"Tuan Nguyen (No Party Affiliation) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TuanNguyen.jpg,Tuan Nguyen,TuanNguyen.jpg,both,,,,,,,,,
WMPID3076,"EKPETE, ULOMA UMA DR.",Uloma Uma Ekpete,FL,W,,,,,,left_only,,,,,,,,,
WMPID1644,"HERNANDEZ, SALOMON SR.",Salomon Sr. Hernandez,FL,W,,,,,,left_only,,,,,,,,,
WMPID2249,"QUILES, MOSES J",Moses Quiles,FL,NNE,,,,,,left_only,,,,,,,,,
WMPID4511,"WALKER, HERSCHEL MR.",Herschel Walker,GA,REP,Herschel Walker,"Herschel Walker (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Herschel_Walker.png,Herschel Walker,Herschel_Walker.png,both,,,,,,,,,
WMPID3554,"JOHNSON, ERIC CHASE",Eric Chase Johnson,GA,IND,,,,,,left_only,,,,,,,,,
WMPID4086,"CHASE, OLIVER",Oliver Chase,GA,LIB,Chase Oliver,"Chase Oliver (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ChaseOliver.jpg,Chase Oliver,ChaseOliver.jpg,both,,,,,,,,,
WMPID2612,"MCDERMOTT, ROBERT C",Robert Mcdermott,HI,REP,,,,,,left_only,,,,,,,,,
WMPID3712,"BONOAN, FEENA",Feena Bonoan,HI,LIB,Feena Bonoan,"Feena Bonoan (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/FeenaBonoan4.jpg,Feena Bonoan,FeenaBonoan4.jpg,both,,,,,,,,,
WMPID4797,"POHLMAN, EMMA JANE AVILA",Emma Jane Avila Pohlman,HI,GRE,,,,,,left_only,,,,,,,,,
WMPID4847,"DECKER, DANIEL BURT MR IV",Daniel Burt IV Decker,HI,OTH,,,,,,left_only,,,,,,,,,
