wmpid,face_url,face_category
WMPID19,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Antonin_Scalia_Official_SCOTUS_Portrait.jpg/220px-Antonin_Scalia_Official_SCOTUS_Portrait.jpg,SupremeCourt
WMPID2,https://www.whitehouse.gov/wp-content/uploads/2021/01/VPKamalaHarris.jpg?w=600&h=400&crop=1,Cabinet
WMPID5223,https://www.whitehouse.gov/wp-content/uploads/2021/01/Antony_Blinken.jpg?w=600&h=400&crop=1,Cabinet
WMPID5214,https://www.whitehouse.gov/wp-content/uploads/2021/01/Janet_Yellen.jpg?w=600&h=400&crop=1,Cabinet
WMPID5228,https://www.whitehouse.gov/wp-content/uploads/2021/01/Lloyd_Austin.jpg?w=600&h=400&crop=1,Cabinet
WMPID20,https://www.whitehouse.gov/wp-content/uploads/2021/01/Merrick_Garland.jpg?w=600&h=400&crop=1,Cabinet
WMPID1183,https://www.whitehouse.gov/wp-content/uploads/2021/01/Deb_Haaland.jpg?w=600&h=400&crop=1,Cabinet
WMPID5237,https://www.whitehouse.gov/wp-content/uploads/2021/01/Tom_Vilsack.jpg?w=600&h=400&crop=1,Cabinet
WMPID5198,https://www.whitehouse.gov/wp-content/uploads/2021/01/Gina_Raimondo.jpg?w=600&h=400&crop=1,Cabinet
WMPID5234,https://www.whitehouse.gov/wp-content/uploads/2021/01/Marty_Walsh.jpg?w=600&h=400&crop=1,Cabinet
WMPID5236,https://www.whitehouse.gov/wp-content/uploads/2021/01/Xavier_Becerra.jpg?w=600&h=400&crop=1,Cabinet
WMPID1206,https://www.whitehouse.gov/wp-content/uploads/2021/01/Marcia_Fudge.jpg?w=600&h=400&crop=1,Cabinet
WMPID5181,https://www.whitehouse.gov/wp-content/uploads/2021/01/Pete_Buttigieg.jpg?w=600&h=400&crop=1,Cabinet
WMPID5231,https://www.whitehouse.gov/wp-content/uploads/2021/01/Jennifer_Granholm1.jpg?w=600&h=400&crop=1,Cabinet
WMPID5176,https://www.whitehouse.gov/wp-content/uploads/2021/01/Miguel_Cardona.jpg?w=600&h=400&crop=1,Cabinet
WMPID5209,https://www.whitehouse.gov/wp-content/uploads/2021/01/Denis_McDonough.jpg?w=600&h=400&crop=1,Cabinet
WMPID5203,https://www.whitehouse.gov/wp-content/uploads/2021/01/Alejandro_Mayorkas.jpg?w=600&h=400&crop=1,Cabinet
