bp_office,bp_url,bp_cand_office
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Leora-Levy.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/1379567_544939728911347_1467377359_n.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dominic-Rapini.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Themis-Klarides.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Christopher_S._Murphy.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JohnAnderson3.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/jeff.russell.2018.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Peter-Lumaj.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard_Blumenthal.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dennis_Misigoy.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steven_B_Grant.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/UlomaEkpete.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BrianRush.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/William_Sanchez.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Oct92020354PM_80182230_BlancoMancuernaParaHombresTemaInstagramPublicacion9.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Rick_Scott.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Howard_Knepper.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Moses_Quiles.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TuanNguyen.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Marco_Rubio.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RoqueDeLaFuente.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Val-Demings.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bill_Nelson.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/EdwardGray.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Georgia,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Marckeith-DeJesus.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Georgia,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Valencia-Stovall.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Georgia,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Commissioner-Black.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Georgia,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Sep82020950AM_80182230_DeborahJacksonHeadShot1.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Georgia,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Herschel_Walker.png,S
